,tessid,tic,toi_disp,toi_period,toi_prad,toi_prad_err1,toi_prad_err2,toi_ror
270,1726.01,130181866,PC,7.108153,2.158585,0.656895,-0.656895,0.021893477504396786
271,1727.01,241225337,PC,1.8327919999999998,2.27447,3.344146,-3.344146,0.021067873913966965
272,1728.01,285048486,PC,3.491567,4.699432,0.3616,-0.3616,0.06797303382115567
273,1729.01,298666530,PC,0.573209,,,,
274,1730.01,318022259,PC,6.222236,2.299128,1.144263,-1.144263,0.03955977668846748
275,1730.02,318022259,PC,2.155669,1.440684,2.043605,-2.043605,0.024789023194292832
276,1731.01,371234684,KP,3.923003,15.1441,0.8464379999999999,-0.8464379999999999,0.10669256696668974
277,1732.01,470987100,PC,4.121356,2.539205,1.549065,-1.549065,0.03676115311957077
278,1733.01,53427308,PC,5.80322,6.3744,0.47426599999999997,-0.47426599999999997,0.038917836799999994
279,1261.01,356311210,PC,18.055717,4.006873000000001,1.317296,-1.317296,0.036331626667326734
280,1642.01,229940491,PC,37.460106,19.285086,17.942753,-17.942753,0.11806853467125715
281,1453.02,198390247,PC,4.3132220000000006,1.211208,2.4538349999999998,-2.4538349999999998,0.015631243290775344
282,1346.02,219852882,PC,1.7622330000000002,1.9794450000000001,3.9506699999999997,-3.9506699999999997,0.023118925187697117
283,1438.02,229650439,PC,9.427131,2.31927,0.777018,-0.777018,0.02603168268123011
284,1269.02,198241702,PC,9.239092,2.315918,0.841565,-0.841565,0.024984129036666015
285,1726.02,130181866,PC,20.545913,2.63597,0.472343,-0.472343,0.026735361311815285
286,1734.01,224596152,PC,28.872259999999997,2.500865,0.72245,-0.72245,0.02316004448385981
287,1735.01,365673804,PC,10.385193,2.373393,1.295493,-1.295493,0.017253435595103908
288,1736.01,408618999,PC,7.074152000000001,3.7022559999999998,0.249506,-0.249506,0.024078730521979973
289,1737.01,233009109,PC,14.446534,3.1611689999999997,1.700332,-1.700332,0.01487268854262992
290,1738.01,104208182,PC,3.697386,3.586413,3.647329,-3.647329,0.04908005118649133
291,1739.01,159418353,PC,8.303966,2.145596,1.020968,-1.020968,0.02516868449751315
292,1740.01,174041208,PC,19.428419,2.461646,1.944062,-1.944062,0.026992915321735735
293,1741.01,198206613,PC,10.941661,1.3747969999999998,1.167302,-1.167302,0.020570786348218774
294,1742.01,219857012,PC,21.272109,2.196405,1.017615,-1.017615,0.01736224093463268
295,1743.01,219860288,PC,4.265874,1.603593,1.931701,-1.931701,0.04588006677517815
296,1744.01,229455001,PC,22.342014000000002,4.333054,6.448851,-6.448851,0.03482475210797908
297,1745.01,232635922,PC,5.985568,2.288984,0.8785780000000001,-0.8785780000000001,0.04938538469802199
298,1746.01,232650365,PC,2.525267,1.562508,3.3698879999999996,-3.3698879999999996,0.034861555221517064
299,1747.01,233071822,PC,2.754667,1.4396280000000001,1.700952,-1.700952,0.01889025467237496
