,tic,mass,mass_err1,mass_err2,logg,logg_err1,logg_err2,radius,radius_err1,radius_err2,dens,dens_err1,dens_err2,teff,teff_err1,teff_err2,snr,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,cdppslplong,cdppslpshrt,dataspan,dutycycle,limbdark_coeff1,limbdark_coeff2,limbdark_coeff3,limbdark_coeff4
160,317507345,1.7203615417084157,0.3767383348124673,-0.3767383348124673,4.31,0.08,-0.08,1.52,0.09,-0.09,0.6897498527042051,0.27356821658008035,-0.27356821658008035,7170.0,213.8,-213.8,107.0,580.2357654028804,528.2800692218576,482.1278609800171,444.55520152742537,417.12835874694787,382.15005553737547,368.0931434859016,339.68515415907484,307.2820645521441,287.075296600198,263.23923867222123,240.77604225624555,233.90487854699185,201.07380679321744,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.608977206363201,-0.34891453509011283,54,0.9558823529411765,0.0,0.0,0.0,0.0
161,322054600,1.4278038675542215,0.318609447028001,-0.318609447028001,4.27,0.09,-0.09,1.45,0.06,-0.06,0.6594277241432921,0.22900898720487245,-0.22900898720487245,6713.0,189.7,-189.7,12.0,374.82384571513205,341.12063562126633,315.7363007912734,294.0529214692298,274.9344587890653,243.88615866805438,231.02668894034434,209.97876033506464,184.87396140548486,163.24921310519704,145.6901153753984,130.71182988874017,126.232165935294,106.84874296561638,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.7862444947923711,-0.4093955822071046,81,0.9558823529411765,0.0,0.0,0.0,0.0
162,322202434,0.9731689789012486,0.20701179075213552,-0.20701179075213552,4.48,0.08,-0.08,0.94,0.05,-0.05,1.6497090267726782,0.614176333504447,-0.614176333504447,5521.0,182.2,-182.2,22.0,351.9490966183588,328.2246593449296,311.30368716076333,296.3912200385619,283.20039464180394,260.02782039366394,250.05545312025612,231.91936798022385,208.7334619625715,188.72854209369777,171.87662506656056,158.6190460267212,154.90939371863885,139.58692370347362,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.5850086072462545,-0.2870073703827876,81,0.9558823529411765,0.0,0.0,0.0,0.0
163,376838000,2.7163926136584475,0.6250381904173118,-0.6250381904173118,4.27,0.09,-0.09,2.0,0.1,-0.1,0.47808510000388676,0.1817194865140299,-0.1817194865140299,10596.0,671.7,-671.7,11.0,274.6821511143881,250.5625120441309,234.66872403406586,220.78502924046828,209.79350776703322,191.27172006476442,183.51354793996433,170.07900244226826,154.14496191113543,140.19042644333587,127.7149437904174,115.86329052082844,112.07128274641583,94.50502212831131,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.6951212403748365,-0.3205311688071208,54,0.9558823529411765,0.0,0.0,0.0,0.0
164,377144784,,,,,,,4.73,,,,,,5017.0,122.0,-122.0,12.0,553.9908114557012,527.1446719362966,505.8350343513311,487.36947643006926,470.95733590628555,442.3207099036969,428.86681437248365,404.61012495128585,371.9845490066453,342.6242872757441,315.5927998453159,290.2246218702483,282.1686588222099,243.8361108372362,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.6008665905709952,-0.2155557767674083,54,0.9558823529411765,0.0,0.0,0.0,0.0
165,378291076,1.3750075612072656,0.3128672693508333,-0.3128672693508333,4.23,0.09,-0.09,1.49,0.07,-0.07,0.5852601252860398,0.21565558481009112,-0.21565558481009112,6594.0,142.3,-142.3,9.0,472.1928815740779,440.46263582542747,417.4162315993364,399.30221704502725,383.666631591064,356.85447865011025,345.5878761944515,324.7742469926001,297.01021842271496,272.3832982019826,249.80128704975465,228.4647518369936,221.4651717030545,188.38817219687283,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.6454782744069644,-0.24715274867425532,54,0.9558823529411765,0.0,0.0,0.0,0.0
166,387260717,1.6562767026355518,0.439161532947572,-0.439161532947572,4.64,0.11,-0.11,1.02,0.04,-0.04,2.197531112949447,0.8412081352380437,-0.8412081352380437,7257.0,418.7,-418.7,9.0,493.24766284825074,472.85452129738496,460.4729415731746,450.70051435605376,441.85723627920186,427.47083720833683,421.70078839817086,410.1363046348785,392.4049870423513,373.59361542266686,354.96143134325547,335.91429853253027,329.4658172708432,297.2175873529261,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.39299616681043636,-0.11535046094061212,108,0.9558823529411765,0.0,0.0,0.0,0.0
167,388076005,1.1458635192947706,0.2158060408183818,-0.2158060408183818,4.48,0.08,-0.08,1.02,0.02,-0.02,1.5203200834963897,0.3757598570350583,-0.3757598570350583,5932.2,71.4,-71.4,17.0,308.42167671094984,281.3251715516325,265.76736722322704,253.27526920031488,241.09413709336457,219.45616894775253,211.16562612601294,196.20341514251018,178.6998802745378,162.87019968691337,148.6469474219776,136.0832253247433,131.8871436686681,112.3518052507495,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.6584100523603449,-0.30385237502506207,54,0.9558823529411765,0.0,0.0,0.0,0.0
168,407394748,,,,,,,2.12,0.06,-0.06,,,,7325.2,111.9,-111.9,39.0,381.4922002469049,354.1429611074436,334.01068986399764,317.2775804011658,303.7953052864557,281.95752064526425,272.00977707575277,253.97657684453503,229.83741748862045,207.65652701353605,186.6492406914288,167.12780113101115,161.01474466739887,134.22645347607497,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.7699366237647346,-0.26691768654490816,54,0.9558823529411765,0.0,0.0,0.0,0.0
169,461387302,1.286885748821383,0.2930976372551713,-0.2930976372551713,4.34,0.09,-0.09,1.27,0.06,-0.06,0.8845685276339956,0.32683886623499514,-0.32683886623499514,6406.0,179.8,-179.8,11.0,447.1322875905721,413.53476604673864,390.92312691148265,373.9931903883162,358.5240644771382,332.4381900107614,321.5344695115526,300.8900840823706,274.8450553654355,251.90079649889657,230.920100470681,211.63968724747355,205.5485541771585,176.6348296388944,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.6292381480997504,-0.2564263163877666,54,0.9558823529411765,0.0,0.0,0.0,0.0
170,470852531,1.3886878139175394,0.3104805463926313,-0.3104805463926313,4.27,0.09,-0.09,1.43,0.06,-0.06,0.6686504895159254,0.23366157690027614,-0.23366157690027614,6587.0,163.9,-163.9,19.0,473.29021868756126,438.3757562100613,414.56927198495913,394.1453996712248,376.432795531785,346.4420456668773,333.18207106523175,308.29940871022234,275.62502442044564,248.12820134299437,224.3814743384173,201.97570620342088,194.96188124135634,161.64577856954372,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.7563453274164513,-0.2856196629508537,54,0.9558823529411765,0.0,0.0,0.0,0.0
171,424435940,1.1491284973324656,0.4080421806410764,-0.4080421806410764,4.4,0.08,-0.08,1.12,0.17,-0.17,1.1516411689738626,0.9333424334532802,-0.9333424334532802,5930.0,435.4,-435.4,119.0,635.872247486199,566.200654867513,517.1389532792197,479.32148298731465,448.3552993626061,399.3775721455178,380.27516970523726,347.770979785221,312.9323514047288,285.7678957764377,258.3417554652,231.6601296745321,223.53054686688634,187.20730228403397,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.7369070274097776,-0.40206088104610205,27,0.9558823529411765,0.0,0.0,0.0,0.0
172,284475976,1.1691738203925504,0.24601040771952914,-0.24601040771952914,4.01,0.08,-0.08,1.77,0.09,-0.09,0.296867009756436,0.10774973943978555,-0.10774973943978555,6148.0,140.8,-140.8,173.0,1565.8702913387176,1481.1003858161307,1399.808691569067,1325.663796294203,1260.1925817286062,1152.1721949670737,1106.881142670399,1028.2384171819206,934.9140469192048,862.7994114355063,804.9506587316718,755.7479933575729,740.5651402786244,672.5158962752523,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.47181175085814886,-0.3075491104068717,81,0.9558823529411765,0.0,0.0,0.0,0.0
173,157586003,1.0539752005835155,0.19672223992581836,-0.19672223992581836,4.0,0.07,-0.07,1.7,0.08,-0.08,0.30205517655639935,0.0990210430032711,-0.0990210430032711,5768.2,140.0,-140.0,35.0,2386.628575844841,2297.006603918103,2221.0381564353174,2149.4853468839133,2078.722260379696,1942.8915352136812,1880.2505726072989,1764.398443561093,1611.124646792497,1474.7621162362773,1346.7269149462268,1220.4566030535157,1178.680712770048,975.9415073424592,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-0.7070548623473164,-0.21896275044801683,27,0.9558823529411765,0.0,0.0,0.0,0.0
